_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PCODE,ward,PHONE,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,run_date,cwelcc_flag,geometry
13,1046,Ferncliff Daycare And After School Group,Non Profit Agency,128 FERN AVE,M6R 1K3,4,(416) 588-1463,Public Elementary School,Fern Avenue Junior And Senior Public School,0,0,32,52,100,184,Y,29NOV24,Y,"{""coordinates"": [[309147.58563678403, 4833915.805752508]], ""type"": ""MultiPoint""}"
14,1055,Balmy Beach Community Day Care Centre,Non Profit Agency,14 PINE AVE,M4E 1L6,19,(416) 698-5668,Public Elementary School,Balmy Beach Public School,0,0,16,52,75,143,Y,29NOV24,Y,"{""coordinates"": [[321747.0887651695, 4837408.184449842]], ""type"": ""MultiPoint""}"
15,1060,Braeburn Woods Day Care Centre,Non Profit Agency,15 TANDRIDGE CRES,M9W 2N8,1,(416) 745-9472,Public Elementary School,Braeburn Junior School,0,10,16,25,30,81,Y,29NOV24,Y,"{""coordinates"": [[300863.6199119657, 4843119.721469163]], ""type"": ""MultiPoint""}"
16,1065,Network Child Care Services - Child's Nest Early Learning Centre,Non Profit Agency,121 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4070,House,,20,20,0,0,0,40,Y,29NOV24,Y,"{""coordinates"": [[317102.9792893085, 4838847.668079328]], ""type"": ""MultiPoint""}"
17,1067,Martingrove Child Care Centre,Commercial Agency,256 JOHN GARLAND BLVD,M9V 1N8,1,(416) 742-1812,House,,0,15,24,10,15,64,Y,29NOV24,Y,"{""coordinates"": [[297473.1139383138, 4843814.836425102]], ""type"": ""MultiPoint""}"
18,1070,Discovery Place Child Care Centre Ltd.,Commercial Agency,22 TUXEDO CRT,M1G 3S3,24,(416) 439-0521,Purpose Built,,10,20,48,20,45,143,Y,29NOV24,Y,"{""coordinates"": [[326562.4478935403, 4848987.156673554]], ""type"": ""MultiPoint""}"
19,1072,Carefree Preschool,Commercial Agency,370 DIXON RD,M9R 1T2,1,(416) 244-5529,High Rise Apartment,,20,15,48,0,0,83,N,29NOV24,Y,"{""coordinates"": [[300273.8426831262, 4839551.3475357555]], ""type"": ""MultiPoint""}"
20,1079,East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,Non Profit Agency,20 WALDOCK ST,M1E 2E5,24,(416) 287-0007,Public Elementary School,Eastview Public School,0,15,24,26,45,110,Y,29NOV24,Y,"{""coordinates"": [[329659.02249419614, 4846601.475044304]], ""type"": ""MultiPoint""}"
21,1082,Macaulay - Regent Street Child Care Centre,Non Profit Agency,48 REGENT ST,M6N 3N9,5,(416) 653-8322,Synagogue,,10,10,24,0,0,44,Y,29NOV24,Y,"{""coordinates"": [[307212.02034472686, 4837902.215859073]], ""type"": ""MultiPoint""}"
22,1083,Lori Gardens Centre For Early Learning,Commercial Agency,2405 FINCH AVE W,M9M 2X2,7,(416) 743-1222x221,High Rise Apartment,,10,15,28,22,25,100,Y,29NOV24,Y,"{""coordinates"": [[301254.21325994906, 4845629.325061902]], ""type"": ""MultiPoint""}"
23,1086,Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,Non Profit Agency,123 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4077,House,,0,10,48,0,0,58,Y,29NOV24,Y,"{""coordinates"": [[317112.62187758303, 4838849.066687844]], ""type"": ""MultiPoint""}"
24,1091,Eastside Club Day Care - 100 Galloway Road,Non Profit Agency,100 GALLOWAY RD,M1E 1W7,24,(416) 281-0262x238,Community/Recreation Centre,,10,15,24,0,0,49,Y,29NOV24,Y,"{""coordinates"": [[329493.9341022292, 4846430.336124313]], ""type"": ""MultiPoint""}"
25,1093,Martin Luther Child Care - Superior,Non Profit Agency,5 SUPERIOR AVE,M8V 2M1,3,(416) 259-2861,House,,0,10,16,0,0,26,Y,29NOV24,Y,"{""coordinates"": [[305798.13590819814, 4830556.727486067]], ""type"": ""MultiPoint""}"
26,1094,Arbor Glen Community Child Care Centre,Non Profit Agency,55 FRESHMEADOW DR,M2H 3H6,17,(416) 497-4040,Public Elementary School,Arbor Glen Public School,0,0,24,26,45,95,Y,29NOV24,Y,"{""coordinates"": [[316408.803119158, 4852179.182685901]], ""type"": ""MultiPoint""}"
27,1095,Frankland Day Care Centre,Non Profit Agency,816 LOGAN AVE,M4K 3E1,14,(416) 463-1413,Public Elementary School,Frankland Community School,0,0,0,26,50,76,Y,29NOV24,Y,"{""coordinates"": [[316920.82281228347, 4837477.105315975]], ""type"": ""MultiPoint""}"
28,1098,Early Adventures Nursery School & Child Care,Commercial Agency,200 MELROSE ST,M8Y 1B7,3,(416) 251-5151,Public Elementary School,George R Gauld Public School,0,15,24,26,30,95,Y,29NOV24,N,"{""coordinates"": [[304928.93658527225, 4831179.924265658]], ""type"": ""MultiPoint""}"
29,1101,Beatty Buddies Daycare,Non Profit Agency,55 WOODINGTON AVE,M4C 3J6,19,(416) 570-8687,Public Elementary School,Earl Beatty Public School,0,15,40,65,90,210,Y,29NOV24,Y,"{""coordinates"": [[319203.3466625167, 4838472.355886563]], ""type"": ""MultiPoint""}"
30,1103,Selwyn Community Child Care Centre,Non Profit Agency,1 SELWYN AVE,M4B 3J9,19,(416) 285-9730,Public Elementary School,Selwyn Public School,0,0,22,33,35,90,Y,29NOV24,Y,"{""coordinates"": [[320408.1662988651, 4840961.360387936]], ""type"": ""MultiPoint""}"
31,1104,Mandi Day Care,Non Profit Agency,30 BARRHEAD CRES,M9W 3Z7,1,(416) 749-8110,Public (school closed),Mississauga Private School/ Rexdale (Closed),0,25,32,0,15,72,Y,29NOV24,Y,"{""coordinates"": [[299437.8027445073, 4842152.336997777]], ""type"": ""MultiPoint""}"
32,1107,Educare Kindergarten - Rathburn,Commercial Agency,18 FOUR SEASONS PL,M9B 6E7,2,(416) 620-0072,Office Building,Four Seasons Place,0,10,24,0,30,64,Y,29NOV24,N,"{""coordinates"": [[299740.79920440365, 4834109.579264721]], ""type"": ""MultiPoint""}"
33,1111,Rolph Road Day Care,Non Profit Agency,31 ROLPH RD,M4G 3M5,15,(416) 487-5862,Public Elementary School,Rolph Road Public School,0,0,20,40,65,125,Y,29NOV24,Y,"{""coordinates"": [[315600.787122457, 4839997.0920765]], ""type"": ""MultiPoint""}"
34,1116,Guildwood Child Care,Commercial Agency,3969 KINGSTON RD,M1J 3H8,24,(416) 261-4476,High Rise Apartment,,10,20,32,12,30,104,Y,29NOV24,Y,"{""coordinates"": [[328690.8237028795, 4845767.743930942]], ""type"": ""MultiPoint""}"
35,1123,Ernie Boccia Creative Child Day Care (Rasheda Alli),Commercial Agency,1 NORTHWESTERN AVE,M6M 2J7,5,(416) 653-6305,Multi Human Services Facility,Harold And Grace Baker Centre,10,20,16,0,0,46,Y,29NOV24,Y,"{""coordinates"": [[307235.6044875677, 4839775.797104182]], ""type"": ""MultiPoint""}"
36,1125,First Stage - Burnhamthorpe,Non Profit Agency,500 THE EAST MALL,M9B 2C4,2,(416) 394-7534,Public High School,Burnhamthorpe Collegiate Institute,10,15,16,0,0,41,Y,29NOV24,Y,"{""coordinates"": [[299823.3870281947, 4834359.245467669]], ""type"": ""MultiPoint""}"
37,1127,Fairbank Memorial Day Care Centre,Non Profit Agency,555 HARVIE AVE,M6E 4M2,9,(416) 656-8675,Public Elementary School,Fairbank Memorial,0,10,16,13,30,69,Y,29NOV24,Y,"{""coordinates"": [[308395.11132436286, 4839083.808866273]], ""type"": ""MultiPoint""}"
38,1129,First Stage - West Humber,Non Profit Agency,1675 MARTIN GROVE RD,M9V 3S3,1,(416) 394-7515,Public High School,West Humber Collegiate Institute,10,15,16,0,0,41,Y,29NOV24,Y,"{""coordinates"": [[297815.03704084025, 4843444.522398999]], ""type"": ""MultiPoint""}"
39,1130,Red Apple Day Care (Overlea),Non Profit Agency,135 OVERLEA BLVD,M3C 1B3,15,(416) 429-5437,Public High School,Marc Garneau Collegiate Institute,10,10,16,0,0,36,Y,29NOV24,Y,"{""coordinates"": [[318099.792300093, 4841015.918552139]], ""type"": ""MultiPoint""}"
40,1135,Fraser School - Community Day Care Centre,Non Profit Agency,79 MANNING AVE,M6J 2K6,10,(416) 603-7372,Public Elementary School,Charles G. Fraser Public School,0,10,44,26,60,140,Y,29NOV24,Y,"{""coordinates"": [[312102.22587780375, 4834290.5161625715]], ""type"": ""MultiPoint""}"
41,1137,Golf Road School Child Care Centre Inc.,Non Profit Agency,730 SCARBOROUGH GOLF CLUB RD,M1G 1H7,24,(416) 289-1061,Public Elementary School,Golf Road Junior Public School,0,10,16,26,30,82,Y,29NOV24,Y,"{""coordinates"": [[327595.1973090292, 4847142.954208886]], ""type"": ""MultiPoint""}"
42,1138,McKee McKids Enrichment Centre,Non Profit Agency,35 CHURCH AVE,M2N 6X6,18,(416) 222-1414,Public Elementary School,McKee Public School,0,0,24,52,90,166,Y,29NOV24,Y,"{""coordinates"": [[311960.3964309479, 4848241.502464914]], ""type"": ""MultiPoint""}"
43,1140,Leaside Day Care Centre,Non Profit Agency,206 LAIRD DR,M4G 3W4,15,(416) 487-5862,Other,,20,35,44,0,0,99,Y,29NOV24,Y,"{""coordinates"": [[315756.4755889021, 4841247.068146193]], ""type"": ""MultiPoint""}"
44,1141,Gold Circle Early Childhood Day Care Centre,Non Profit Agency,25 POYNTER DR,M9R 1K8,2,(416) 241-2000,Public Elementary School,Westway Junior Public School,0,15,24,26,45,110,Y,29NOV24,Y,"{""coordinates"": [[300850.7446460661, 4838986.12065765]], ""type"": ""MultiPoint""}"
45,1148,Park Lawn Preschool,Non Profit Agency,71 BALLACAINE DR,M8Y 4B6,3,(416) 236-2974,Public Elementary School,Park Lawn Junior And Middle School,0,15,24,39,75,153,Y,29NOV24,Y,"{""coordinates"": [[305086.6786655124, 4833085.06884739]], ""type"": ""MultiPoint""}"
46,1150,George Harvey Child Care Centre,Non Profit Agency,1700 KEELE ST,M6M 3W5,5,(416) 658-9244,Public High School,George Harvey Collegiate Institute,10,15,16,0,0,41,Y,29NOV24,Y,"{""coordinates"": [[306920.6837565707, 4838288.101240345]], ""type"": ""MultiPoint""}"
47,1157,Children's Circle Of St. Barnabas,Non Profit Agency,361 DANFORTH AVE,M4K 1P1,14,(416) 461-5151x6,Place of Worship,St. Barnabas Anglican Church,10,15,56,26,60,167,Y,29NOV24,Y,"{""coordinates"": [[316707.2479145023, 4837490.072854029]], ""type"": ""MultiPoint""}"
48,1160,Morningside Children's Centre,Commercial Agency,292 MORNINGSIDE AVE,M1E 3E7,24,(416) 282-9956,House,,0,15,16,10,0,41,Y,29NOV24,Y,"{""coordinates"": [[329922.5876286678, 4848068.909967127]], ""type"": ""MultiPoint""}"
49,1167,McNicoll Avenue Child Care Program,Non Profit Agency,155 MCNICOLL AVE,M2H 2C1,17,(416) 499-9743,Public (school closed),McNicoll Avenue Public School,10,15,24,0,0,49,Y,29NOV24,Y,"{""coordinates"": [[316219.99114459264, 4851010.850246545]], ""type"": ""MultiPoint""}"
50,1169,N.Y.A.D. Guildwood,Non Profit Agency,225 LIVINGSTON RD,M1E 1L8,24,(416) 261-6540,Public Elementary School,Guildwood Junior Public School,0,0,16,26,30,72,Y,29NOV24,Y,"{""coordinates"": [[328961.253339096, 4845694.320731912]], ""type"": ""MultiPoint""}"
51,1170,Arpi Nursery School,Commercial Agency,39 CARL HALL RD,M3K 2E2,6,(416) 781-1620,Industrial Building,,20,25,64,0,0,109,Y,29NOV24,Y,"{""coordinates"": [[306577.1628562649, 4845224.21450388]], ""type"": ""MultiPoint""}"
52,1174,Bonaventure Child Care Centre,Non Profit Agency,295 DUFFERIN ST,M6K 3G2,10,(416) 588-4318,High Rise Apartment,,10,25,32,0,0,67,Y,29NOV24,Y,"{""coordinates"": [[310665.42025847145, 4833346.052209982]], ""type"": ""MultiPoint""}"
53,1180,Children's Primary Centre,Non Profit Agency,177 BEVERLEY ST,M5T 1Y7,11,(416) 977-1204,Place of Worship,Chinese Presbyterian Church,0,0,24,12,0,36,N,29NOV24,Y,"{""coordinates"": [[313330.3005619202, 4835073.973690333]], ""type"": ""MultiPoint""}"
54,1182,Happy Day Child Care Centre,Commercial Agency,676 JANE ST,M6N 4A7,5,(416) 528-1469,Purpose Built,,0,0,24,12,20,56,Y,29NOV24,Y,"{""coordinates"": [[305381.83896517893, 4836500.472825077]], ""type"": ""MultiPoint""}"
55,1190,Abiona Centre For Infant And Early Mental Health's Early Learning,Non Profit Agency,40 HUMEWOOD DR,M6C 2W4,12,(416) 651-5657x226,House,Humewood House,10,15,0,0,0,25,Y,29NOV24,Y,"{""coordinates"": [[310654.5270729015, 4838249.117334985]], ""type"": ""MultiPoint""}"
56,1192,Nsheemaehn Child Care Centre,Non Profit Agency,1255 MILITARY TRAIL,M1C 1A3,25,(416) 287-7624,Purpose Built,University Of Toronto Scarborough Campus,10,10,32,0,0,52,Y,29NOV24,Y,"{""coordinates"": [[329900.5758619877, 4849567.434408058]], ""type"": ""MultiPoint""}"
57,1193,Childspace Day Care Corporation # 1 (50 Woodmount),Non Profit Agency,50 WOODMOUNT AVE,M4C 3X9,19,(416) 425-7763,Catholic Elementary School,St. Brigid's Catholic School,0,0,0,52,68,120,Y,29NOV24,Y,"{""coordinates"": [[319565.81061315304, 4838556.279815053]], ""type"": ""MultiPoint""}"
58,1194,Royal Day Care Weston Inc,Commercial Agency,1737 WESTON RD,M9N 1V5,5,(416) 249-9115,Purpose Built,Royal Daycare,0,10,56,0,39,105,Y,29NOV24,Y,"{""coordinates"": [[303947.3143051703, 4839854.372805345]], ""type"": ""MultiPoint""}"
59,1196,Rosalie Hall Early Learning And Child Care Centre,Non Profit Agency,3020 LAWRENCE AVE E,M1P 2T7,21,(416) 438-6880x239,Other,,30,25,24,0,0,79,Y,29NOV24,Y,"{""coordinates"": [[325050.63358858007, 4846212.265328663]], ""type"": ""MultiPoint""}"
60,1200,Alpha Site,Non Profit Agency,20 BRANT ST,M5V 2M1,10,(416) 368-9735,Public Elementary School,Alpha Alternative Primary School,0,0,0,0,30,30,Y,29NOV24,Y,"{""coordinates"": [[313011.03742148424, 4833979.609296654]], ""type"": ""MultiPoint""}"
61,1201,Humewood Day Care Centre,Non Profit Agency,15 CHERRYWOOD AVE,M6C 2X4,12,(416) 658-8886,Public Elementary School,Humewood Community School,0,0,32,52,30,114,Y,29NOV24,Y,"{""coordinates"": [[310602.9240404678, 4838523.268068594]], ""type"": ""MultiPoint""}"
62,1204,Rexdale Day Nursery,Non Profit Agency,925 ALBION RD,M9V 1A6,1,(416) 743-5057,Community/Rec Centre - City,Thistletown Multi Service Centre,0,0,48,0,25,73,Y,29NOV24,Y,"{""coordinates"": [[299759.1909674581, 4843947.090135157]], ""type"": ""MultiPoint""}"
63,1205,Sandbox Day Care Centre,Commercial Agency,15 ORTON PARK RD,M1G 3G3,24,(416) 431-3327,High Rise Apartment,,0,10,38,12,28,88,Y,29NOV24,Y,"{""coordinates"": [[328515.7338782728, 4847291.438722369]], ""type"": ""MultiPoint""}"
64,1207,Humber Bay Child Care Centre,Non Profit Agency,50 CLOVERHILL RD,M8Y 1T3,3,(416) 251-8240,Public Elementary School,Etienne Brule Junior Public School,0,15,24,26,60,125,Y,29NOV24,Y,"{""coordinates"": [[305632.5981285463, 4832852.211603464]], ""type"": ""MultiPoint""}"
65,1211,Humber Child Development Centre,Non Profit Agency,205 HUMBER COLLEGE BLVD,M9W 5L7,1,(416) 675-5057,Community College/University,Humber College Of Applied Arts And Technology,20,30,48,0,0,98,Y,29NOV24,Y,"{""coordinates"": [[296193.0232920143, 4843250.393231397]], ""type"": ""MultiPoint""}"
66,1213,Avenue Road Nursery School,Commercial Agency,1498 AVENUE RD,M5N 2J1,8,(416) 783-2773,Place of Worship,St. Ansgar Church,0,45,48,0,0,93,Y,29NOV24,Y,"{""coordinates"": [[311581.69558776834, 4842458.590420358]], ""type"": ""MultiPoint""}"
67,1216,Roseland Day Care Centre,Non Profit Agency,990 JANE ST,M6N 4E2,5,(416) 763-0068,Public Elementary School,Roseland Public School,0,10,16,13,30,69,Y,29NOV24,Y,"{""coordinates"": [[304875.7079053022, 4837919.915609879]], ""type"": ""MultiPoint""}"
68,1221,Romero Bears Child Care Centre,Non Profit Agency,99 HUMBER BLVD,M6N 2H4,5,(416) 509-0159,Catholic High School,Archbishop Romero Catholic School,0,10,8,0,0,18,Y,29NOV24,Y,"{""coordinates"": [[306330.79376534175, 4837817.175302454]], ""type"": ""MultiPoint""}"
69,1229,Lescon Learners Child Care,Non Profit Agency,34 LESCON RD,M2J 2G6,17,(416) 499-7325,Public Elementary School,Lescon Public School,10,10,24,26,30,100,Y,29NOV24,Y,"{""coordinates"": [[316251.2509048343, 4848994.259751856]], ""type"": ""MultiPoint""}"
70,1231,Childspace Day Care Corporation # 2 (690 Carlaw),Non Profit Agency,690 CARLAW AVE,M4K 3K9,14,(416) 469-0560,Catholic Elementary School,Holy Name Catholic School,0,15,24,26,45,110,Y,29NOV24,Y,"{""coordinates"": [[317113.6537971866, 4837500.278545433]], ""type"": ""MultiPoint""}"
71,1232,Dawes Road Centre For Early Learning,Commercial Agency,391 DAWES RD,M4B 2E6,19,(416) 755-8348x221,Other,,20,20,40,0,0,80,Y,29NOV24,Y,"{""coordinates"": [[321194.81859383034, 4840225.973292494]], ""type"": ""MultiPoint""}"
72,1235,Silverstone Learning Centre,Commercial Agency,520 SILVERSTONE DR,M9V 3L5,1,(416) 741-0414,Public Elementary School,Melody Village Public School,0,10,16,20,30,76,Y,29NOV24,Y,"{""coordinates"": [[297160.6892788113, 4844245.547860292]], ""type"": ""MultiPoint""}"
73,1248,Brock Early Learning Centre,Non Profit Agency,93 MARGUERETTA ST,M6H 3S4,9,(416) 535-3491,Public Elementary School,Brock Avenue Public School,0,15,32,26,60,133,Y,29NOV24,Y,"{""coordinates"": [[309814.0059864303, 4834790.514750824]], ""type"": ""MultiPoint""}"
74,1250,Sunny Faces Day Care Centre - Rivercrest,Non Profit Agency,30 HAREFIELD DR,M9W 4C9,1,(416) 744-0778,Public Elementary School,Rivercrest Public School,0,0,24,26,50,100,Y,29NOV24,Y,"{""coordinates"": [[299199.8224715311, 4843308.256062602]], ""type"": ""MultiPoint""}"
75,1254,Baycrest Child Care Centre,Non Profit Agency,50 AMEER AVE,M6A 2L3,8,(416) 784-1316,Public Elementary School,Baycrest Public School,10,30,48,52,30,170,Y,29NOV24,Y,"{""coordinates"": [[309496.63455222815, 4843193.797151028]], ""type"": ""MultiPoint""}"
76,1255,Campus Community Co-Operative Day Care,Non Profit Agency,370 HURON ST,M5S 2G4,11,(416) 946-0875,Purpose Built,,10,15,24,0,0,49,Y,29NOV24,Y,"{""coordinates"": [[312806.7332575493, 4836074.465455242]], ""type"": ""MultiPoint""}"
77,1266,Network Child Care Services - Just Kids Child Care Centre,Non Profit Agency,1695 KEELE ST,M6M 3W7,5,(416) 530-0722x4037,Place of Worship,York Memorial Church,10,20,32,0,0,62,Y,29NOV24,Y,"{""coordinates"": [[307009.20802937145, 4838354.431926041]], ""type"": ""MultiPoint""}"
78,1267,Plains Road Child Care Inc.,Non Profit Agency,520 PLAINS RD,M4C 2Z1,19,(416) 421-2273,Catholic Elementary School,Canadian Martyrs Catholic School,10,20,32,52,30,144,Y,29NOV24,Y,"{""coordinates"": [[319361.95286637574, 4839821.406499261]], ""type"": ""MultiPoint""}"
79,1271,J.R. Wilcox Day Care Centre,Non Profit Agency,231 AVA RD,M6C 1X3,12,(416) 656-1781,Public Elementary School,J.R. Wilcox Community School,10,15,24,39,45,133,Y,29NOV24,Y,"{""coordinates"": [[309934.30097693414, 4839446.1112436885]], ""type"": ""MultiPoint""}"
80,1272,Lef- Silverthorn Early Learning Earth Centre,Non Profit Agency,2700 EGLINTON AVE W,M6M 1V1,5,(416) 653-9702,Office Building,York Civic Centre,10,10,16,0,0,36,Y,29NOV24,Y,"{""coordinates"": [[306540.5437567689, 4838880.986940655]], ""type"": ""MultiPoint""}"
81,1278,Sheppard Square Day Nursery,Commercial Agency,5600 SHEPPARD AVE E,M1B 2L4,23,(416) 292-3607,High Rise Apartment,Apartment Building,10,30,48,0,30,118,Y,29NOV24,Y,"{""coordinates"": [[326017.61155942077, 4850593.677468829]], ""type"": ""MultiPoint""}"
82,1280,Tiny Treasure Montessori,Commercial Agency,627 BURNHAMTHORPE RD,M9C 2Y9,2,(416) 622-6443,Place of Worship,Renforth Baptist Church,0,10,48,12,0,70,N,29NOV24,N,"{""coordinates"": [[298894.5327725769, 4833748.1834789645]], ""type"": ""MultiPoint""}"
83,1285,Kingsview Child Care,Commercial Agency,340 DIXON RD,M9R 1T1,1,(416) 249-7601,High Rise Apartment,,20,15,40,0,24,99,Y,29NOV24,N,"{""coordinates"": [[300459.159443836, 4839519.117064304]], ""type"": ""MultiPoint""}"
84,1287,Terry Tan Child Centre (Bloordale),Non Profit Agency,4258 BLOOR ST W,M9C 1Z7,2,(416) 621-4822,Place of Worship,Bloordale United Church,10,25,32,0,0,67,Y,29NOV24,Y,"{""coordinates"": [[299244.39632595977, 4832744.394724764]], ""type"": ""MultiPoint""}"
85,1288,A & A Daycare Centre,Non Profit Agency,3380 MIDLAND AVE,M1V 5B5,22,(416) 298-4489,Other,,20,40,48,0,30,138,Y,29NOV24,Y,"{""coordinates"": [[321668.10814570374, 4852168.102007576]], ""type"": ""MultiPoint""}"
86,1294,Cottingham Child Care Centre,Non Profit Agency,85 BIRCH AVE,M4V 1E3,12,(416) 929-6841,Public Elementary School,Cottingham Public School,0,0,24,26,30,80,Y,29NOV24,Y,"{""coordinates"": [[313217.0409222898, 4837830.119819344]], ""type"": ""MultiPoint""}"
87,1297,West Hill Centre For Early Learning (Centres For Early Learning Inc.),Commercial Agency,4010 LAWRENCE AVE E,M1E 2R4,24,(416) 283-4294x221,High Rise Apartment,,10,15,40,0,0,65,Y,29NOV24,Y,"{""coordinates"": [[329046.5623139567, 4847462.254114693]], ""type"": ""MultiPoint""}"
88,1298,B.F. Toronto Centre For Early Childhood Education,Commercial Agency,45 GOLFDOWN DR,M9W 2H8,1,(416) 746-6542x200,Public Elementary School,The Elms Junior Middle School,0,10,24,26,30,90,Y,29NOV24,Y,"{""coordinates"": [[300601.38488192845, 4842475.24488098]], ""type"": ""MultiPoint""}"
89,1306,Bayview Gardens Day Care Centre,Commercial Agency,3125 BAYVIEW AVE,M2K 1G2,17,(416) 222-9405,Church,Greek Orthodox Community Centre,0,30,40,0,0,70,Y,29NOV24,Y,"{""coordinates"": [[313603.90160244296, 4849076.6084973635]], ""type"": ""MultiPoint""}"
90,1309,Tlc - Tender Loving Care (Cross St.),Commercial Agency,44 CROSS ST,M9N 2B9,5,(416) 248-5401,House,,0,10,16,10,24,60,Y,29NOV24,Y,"{""coordinates"": [[302710.96867298824, 4840559.469181364]], ""type"": ""MultiPoint""}"
91,1324,Cedarbrae Day Nursery (1375 Midland),Commercial Agency,1375 MIDLAND AVE,M1P 3B7,21,(416) 751-2358,High Rise Apartment,,20,35,16,0,0,71,Y,29NOV24,Y,"{""coordinates"": [[323837.9471437504, 4845585.113707614]], ""type"": ""MultiPoint""}"
92,1328,Donald C. Macdonald Child Care Centre,Non Profit Agency,116 INDUSTRY ST,M6M 4L8,5,(416) 769-2328,Other,York Business Opportunities Centre,10,25,31,0,0,66,Y,29NOV24,Y,"{""coordinates"": [[305357.1485525389, 4839353.590666833]], ""type"": ""MultiPoint""}"
93,1335,Blaydon Community Day Care Centre,Non Profit Agency,25 BLAYDON AVE,M3M 2C9,6,(416) 638-1461,Public Elementary School,Blaydon Public School,0,10,16,26,22,74,Y,29NOV24,Y,"{""coordinates"": [[305907.38417813554, 4843932.696384928]], ""type"": ""MultiPoint""}"
